Date,Traffic_Volume
2022-01-01,427052.0
2022-01-02,306997.0
2022-01-03,186623.0
2022-01-04,325288.0
2022-01-05,327385.0
2022-01-06,380256.0
2022-01-07,249394.0
2022-01-08,263355.0
2022-01-09,196489.0
2022-01-10,346279.0
2022-01-11,231051.0
2022-01-12,264490.0
2022-01-13,193480.0
2022-01-14,269304.0
2022-01-15,180505.0
2022-01-16,280127.0
2022-01-17,151090.0
2022-01-18,203748.0
2022-01-19,286548.0
2022-01-20,201101.0
2022-01-21,262506.0
2022-01-22,272740.0
2022-01-23,250684.0
2022-01-24,305429.0
2022-01-25,166251.0
2022-01-26,146267.0
2022-01-27,351320.0
2022-01-28,300958.0
2022-01-29,339685.0
2022-01-30,386438.0
2022-01-31,254629.0
2022-02-01,305240.0
2022-02-02,290072.0
2022-02-03,220933.0
2022-02-04,274696.0
2022-02-05,255611.0
2022-02-06,270719.0
2022-02-07,267617.0
2022-02-08,307515.0
2022-02-09,272412.0
2022-02-10,192784.0
2022-02-11,224920.0
2022-02-12,319579.0
2022-02-13,306260.0
2022-02-14,293713.0
2022-02-15,243237.0
2022-02-16,333430.0
2022-02-17,334483.0
2022-02-18,416832.0
2022-02-19,277800.0
2022-02-20,240295.0
2022-02-21,302443.0
2022-02-22,315222.0
2022-02-23,338955.0
2022-02-24,219377.0
2022-02-25,239038.0
2022-02-26,146619.0
2022-02-27,186205.0
2022-02-28,248858.0
2022-03-01,321052.0
2022-03-02,276025.0
2022-03-03,365898.0
2022-03-04,300054.0
2022-03-05,315654.0
2022-03-06,351556.0
2022-03-07,356761.0
2022-03-08,322805.0
2022-03-09,304336.0
2022-03-10,368538.0
2022-03-11,290739.0
2022-03-12,258072.0
2022-03-13,231934.0
2022-03-14,312240.0
2022-03-15,291360.0
2022-03-16,259857.0
2022-03-17,307825.0
2022-03-18,267730.0
2022-03-19,298885.0
2022-03-20,254972.0
2022-03-21,241356.0
2022-03-22,182934.0
2022-03-23,290538.0
2022-03-24,321683.0
2022-03-25,290331.0
2022-03-26,288682.0
2022-03-27,266515.0
2022-03-28,253411.0
2022-03-29,253222.0
2022-03-30,387923.0
2022-03-31,271490.0
2022-04-01,280249.0
2022-04-02,117939.0
2022-04-03,224916.0
